level,session_date,journal_number_open,citation_number_open,h_index_open,journal_number_real,citation_number_real,h_index_real
2,2017-04-03,9,141,7,13,254,9
2,2017-04-03,10,52,5,9,174,8
2,2017-04-03,7,84,4,9,174,8
2,2017-04-03,4,63,5,5,154,8
2,2017-04-03,5,67,6,7,185,8
2,2017-04-03,11,126,7,13,342,11
2,2017-04-03,8,85,4,10,174,7
2,2017-04-03,10,217,9,12,562,10
2,2017-04-03,3,192,8,7,454,12
2,2017-04-03,6,107,6,5,216,8
2,2017-04-03,8,289,9,16,1062,20
2,2017-04-03,2,60,5,15,271,9
2,2017-04-03,1,32,3,12,555,10
2,2017-04-03,5,97,4,9,361,8
2,2017-04-03,2,108,5,1,155,6
2,2017-04-03,9,39,4,5,140,8
2,2017-04-03,9,184,9,11,444,13
2,2017-04-03,4,46,4,6,104,4
2,2017-04-03,2,67,5,6,120,6
2,2017-04-03,10,367,13,23,934,19
2,2017-04-03,5,55,4,7,123,5
2,2017-04-03,9,67,6,10,129,7
2,2017-04-03,13,54,5,13,183,8
2,2017-04-03,6,144,6,0,168,7
2,2017-04-03,15,839,16,13,1072,19
2,2017-04-03,12,132,7,18,393,10
2,2017-04-03,6,54,4,8,260,7
2,2017-04-03,8,51,4,17,187,8
2,2017-04-03,5,112,6,20,422,11
2,2017-04-03,20,304,10,21,994,17
2,2017-04-03,14,147,6,15,348,11
2,2017-04-03,9,67,6,10,121,6
2,2017-04-03,4,37,4,5,1753,7
2,2017-04-03,3,117,6,6,194,8
2,2017-04-03,13,56,5,25,278,9
2,2017-04-03,5,110,5,3,229,8
2,2017-04-03,12,120,7,22,223,8
2,2018-04-06,9,59,6,19,146,8
2,2018-04-06,8,78,6,9,143,7
2,2018-04-06,6,52,4,8,146,7
2,2018-04-06,9,141,7,13,254,9
2,2018-04-06,8,101,7,12,330,10
2,2018-04-06,1,42,3,12,317,9
2,2018-04-06,9,146,7,9,269,9
2,2018-04-06,6,90,7,4,154,6
2,2018-04-06,17,197,9,13,367,13
2,2018-04-06,6,536,10,6,946,13
2,2018-04-06,9,95,6,12,186,8
2,2018-04-06,7,166,8,10,255,10
2,2018-04-06,7,24,3,6,91,6
2,2018-04-06,5,67,6,8,127,6
2,2018-04-06,5,162,8,3,179,7
2,2018-04-06,5,41,4,8,94,6
2,2018-04-06,6,78,5,8,132,6
2,2018-04-06,8,141,8,8,170,6
2,2018-04-06,3,98,6,6,171,8
2,2018-04-06,8,238,10,4,124,7
2,2018-04-06,4,161,7,3,263,8
2,2018-04-06,0,195,3,10,229,4
2,2018-04-06,1,125,6,10,299,9
2,2018-04-06,5,17,3,7,136,7
2,2018-04-06,4,45,5,8,132,7
2,2018-04-06,5,200,7,9,331,10
2,2018-04-06,3,14,3,15,121,6
2,2018-04-06,7,85,7,8,95,6
2,2018-04-06,5,181,7,8,258,9
2,2018-04-06,6,187,8,5,263,8
2,2018-04-06,9,57,5,9,174,8
2,2018-04-06,8,532,8,7,552,8
2,2018-04-06,9,122,7,8,219,9
2,2018-04-06,7,264,8,6,255,9
2,2018-04-06,12,126,7,13,184,8
2,2018-04-06,4,61,6,3,158,9
2,2018-04-06,3,239,9,4,270,8
2,2018-04-06,4,253,10,5,427,11
2,2018-04-06,8,53,5,9,88,6
2,2018-04-06,2,129,7,8,628,15
2,2018-04-06,7,38,5,7,109,7
2,2018-04-06,7,140,7,8,231,9
2,2018-04-06,7,21,4,7,161,5
2,2018-04-06,4,343,7,5,481,8
2,2018-04-06,8,116,6,10,185,8
2,2018-04-06,3,571,12,13,2207,20
2,2018-04-06,11,141,7,11,246,10
2,2018-04-06,5,57,4,9,256,9
2,2018-04-06,5,74,5,9,160,8
2,2018-04-06,8,290,7,11,723,11
2,2018-04-06,8,56,6,5,98,7
2,2018-04-06,6,74,5,10,181,8
2,2018-04-06,16,371,10,41,1143,18
2,2018-04-06,11,58,6,10,75,6
2,2018-04-06,10,155,8,10,233,9
2,2018-04-06,6,156,7,5,154,7
2,2018-04-06,3,143,7,6,435,11
2,2018-04-06,3,83,5,4,162,8
2,2018-04-06,3,77,5,6,146,7
2,2018-04-06,7,59,5,7,108,6
2,2018-04-06,5,548,10,7,486,9
2,2018-04-06,3,72,5,3,624,8
2,2018-04-06,11,461,12,12,558,10
2,2018-04-06,16,264,9,13,262,10
2,2018-04-06,5,43,5,11,228,8
2,2018-04-06,4,76,6,4,74,6
2,2018-04-06,3,395,13,5,721,13
2,2018-04-06,7,178,7,0,168,7
2,2018-04-06,11,282,9,10,448,11
2,2018-04-06,7,125,7,8,197,9
2,2018-04-06,9,117,6,11,168,7
2,2018-04-06,5,33,4,7,58,5
2,2018-04-06,5,51,6,8,163,7
2,2018-04-06,3,100,3,5,181,6
2,2018-04-06,9,46,5,9,105,6
2,2018-04-06,6,89,6,6,124,6
2,2018-04-06,6,57,5,8,116,7
2,2018-04-06,5,68,5,4,173,7
2,2018-04-06,7,299,11,8,739,12
2,2018-04-06,2,61,4,5,154,9
2,2018-04-06,0,2,1,11,113,7
2,2018-04-06,12,266,9,13,458,10
2,2018-04-06,6,158,6,18,342,12
2,2018-04-06,2,191,8,3,369,10
2,2018-04-06,10,170,9,25,803,13
2,2018-04-06,13,111,6,10,114,6
2,2018-04-06,3,35,3,7,190,7
2,2018-04-06,10,531,13,30,1198,22
2,2018-04-06,11,98,7,12,521,9
2,2018-04-06,8,60,5,11,137,7
2,2018-04-06,25,402,10,25,572,13
2,2018-04-06,12,234,9,18,187,7
2,2018-04-06,27,1353,23,24,1443,23
2,2018-04-06,6,30,4,6,351,9
2,2018-04-06,6,100,7,9,231,10
2,2018-04-06,2,104,5,1,368,8
2,2018-04-06,2,81,6,4,139,7
2,2018-04-06,8,56,6,9,158,8
2,2018-04-06,5,130,6,5,274,9
2,2018-04-06,3,84,6,8,217,10
